Rk,Player,WAR,Season,Team
142,Cedric Mullins,2.8,2023,BAL
143,Max Muncy,2.6,2023,LAD
144,Sean Murphy,3.9,2023,ATL
145,Josh Naylor,2.5,2023,CLE
146,Zach Neto,1.6,2023,LAA
147,Brandon Nimmo,3.9,2023,NYM
148,Ryan Noda,2.3,2023,OAK
149,Lars Nootbaar,3.3,2023,STL
150,Matt Olson,7.4,2023,ATL
151,Shohei Ohtani,6,2023,LAA
152,James Outman,3.3,2023,LAD
153,Marcell Ozuna,3.3,2023,ATL
154,Isaac Paredes,4.2,2023,TBR
155,Jeremy PeÃ±a,3.8,2023,HOU
156,David Peralta,0.6,2023,LAD
157,Geraldo Perdomo,2.3,2023,ARI
158,Salvador Perez,0.5,2023,KCR
159,Jace Peterson,-0.3,2023,"ARI,OAK"
160,Tommy Pham,1.5,2023,"ARI,NYM"
161,Jurickson Profar,-1.3,2023,"COL,SDP"
162,Cal Raleigh,3.2,2023,SEA
163,Harold RamÃ­rez,2.1,2023,TBR
164,JosÃ© RamÃ­rez,5.1,2023,CLE
165,J.T. Realmuto,3.6,2023,PHI
166,Hunter Renfroe,-0.6,2023,"CIN,LAA"
167,Bryan Reynolds,2.4,2023,PIT
168,Austin Riley,5.9,2023,ATL
169,Anthony Rizzo,0.5,2023,NYY
170,Luis Robert Jr.,5,2023,CHW
171,Julio RodrÃ­guez,5.3,2023,SEA
172,Jake Rogers,0.7,2023,DET
173,Miguel Rojas,1.3,2023,LAD
174,Amed Rosario,0.4,2023,"CLE,LAD"
175,Eddie Rosario,1.1,2023,ATL
176,Keibert Ruiz,1.3,2023,WSN
177,Esteury Ruiz,-0.1,2023,OAK
178,Adley Rutschman,4.3,2023,BAL
179,JesÃºs SÃ¡nchez,1.7,2023,MIA
180,Anthony Santander,3,2023,BAL
181,Carlos Santana,2.7,2023,"MIL,PIT"
182,Kyle Schwarber,0.6,2023,PHI
183,Corey Seager,6.9,2023,TEX
184,Jean Segura,-1.9,2023,MIA
185,Marcus Semien,7.4,2023,TEX
186,Jose Siri,1.7,2023,TBR
187,Dominic Smith,0.9,2023,WSN
188,Will Smith,4.1,2023,LAD
189,Donovan Solano,1.7,2023,MIN
190,Jorge Soler,1.8,2023,MIA
191,Edmundo Sosa,0.7,2023,PHI
192,Juan Soto,5.5,2023,SDP
193,George Springer,2.1,2023,TOR
194,Jacob Stallings,-0.6,2023,MIA
195,Tyler Stephenson,0.7,2023,CIN
196,Bryson Stott,4.3,2023,PHI
197,Myles Straw,1.1,2023,CLE
198,Eugenio SuÃ¡rez,2.3,2023,SEA
199,Jack Suwinski,2.2,2023,PIT
200,Seiya Suzuki,2.8,2023,CHC
201,Dansby Swanson,4.8,2023,CHC
202,Fernando Tatis Jr.,5.5,2023,SDP
203,Mike Tauchman,2.4,2023,CHC
204,Leody Taveras,2.6,2023,TEX
205,Michael A. Taylor,1.9,2023,MIN
206,Matt Thaiss,0.4,2023,LAA
207,Lane Thomas,3.3,2023,WSN
208,Alek Thomas,1.1,2023,ARI
209,Spencer Torkelson,0.8,2023,DET
210,Gleyber Torres,2.9,2023,NYY
211,Ezequiel Tovar,2.5,2023,COL
212,Kyle Tucker,5.4,2023,HOU
213,Brice Turang,1.6,2023,MIL
214,Trea Turner,3.4,2023,PHI
215,Justin Turner,2.1,2023,BOS
216,RamÃ³n UrÃ­as,1.8,2023,BAL
217,Daulton Varsho,3.9,2023,TOR
218,Andrew Vaughn,0.9,2023,CHW
219,Christian VÃ¡zquez,-0.3,2023,MIN
220,Alex Verdugo,2.6,2023,BOS
221,Matt Vierling,1.5,2023,DET
222,Daniel Vogelbach,0.2,2023,NYM
223,Anthony Volpe,3.3,2023,NYY
224,LaMonte Wade Jr.,2.7,2023,SFG
225,Jordan Walker,-0.1,2023,STL
226,Christian Walker,3.8,2023,ARI
227,Taylor Ward,1.7,2023,LAA
228,Drew Waters,0.7,2023,KCR
229,Joey Wendle,-0.2,2023,MIA
230,Joey Wiemer,0.9,2023,MIL
231,Bobby Witt Jr.,4.4,2023,KCR
232,Connor Wong,2.2,2023,BOS
233,Mike Yastrzemski,2.4,2023,SFG
234,Christian Yelich,3.6,2023,MIL
235,Masataka Yoshida,1.4,2023,BOS
236,JosÃ© Abreu,4.3,2022,CHW
237,Ronald AcuÃ±a Jr.,2.6,2022,ATL
238,Willy Adames,4.3,2022,MIL
239,Jo Adell,-0.6,2022,LAA
240,Pete Alonso,4.4,2022,NYM
241,Jose Altuve,5.2,2022,HOU
242,Elvis Andrus,3.2,2022,"CHW,OAK"
243,Nolan Arenado,7.7,2022,STL
244,Randy Arozarena,2.7,2022,TBR
245,JosÃ© Azocar,0,2022,SDP
246,Harrison Bader,1,2022,"NYY,STL"
247,Javier BÃ¡ez,2.4,2022,DET
248,Tucker Barnhart,-0.2,2022,DET
249,Joey Bart,0.8,2022,SFG
250,Josh Bell,2.9,2022,"SDP,WSN"
251,Cody Bellinger,1.4,2022,LAD
252,Andrew Benintendi,3.2,2022,"KCR,NYY"
253,Mookie Betts,6.7,2022,LAD
254,Bo Bichette,3.7,2022,TOR
255,Charlie Blackmon,-0.1,2022,COL
256,Xander Bogaerts,5.9,2022,BOS
257,Alec Bohm,0.9,2022,PHI
258,Jackie Bradley Jr.,-0.5,2022,"BOS,TOR"
259,Alex Bregman,4.6,2022,HOU
260,Seth Brown,1.8,2022,OAK
261,Miguel Cabrera,-1.1,2022,DET
262,Kole Calhoun,-1.6,2022,TEX
263,Jeimer Candelario,0.5,2022,DET
264,Mark Canha,2.5,2022,NYM
265,Victor Caratini,0.6,2022,MIL
266,Dylan Carlson,1.9,2022,STL
267,Nick Castellanos,0.1,2022,PHI
268,Willi Castro,1.1,2022,DET
269,Gilberto Celestino,0.3,2022,MIN
270,Matt Chapman,3.6,2022,TOR
271,Michael Chavis,-0.2,2022,PIT
272,Jiman Choi,1.2,2022,TBR
273,Trent Grisham,2.5,2022,SDP
274,Carlos Correa,5.3,2022,MIN
275,J.P. Crawford,2.7,2022,SEA
276,Brandon Crawford,0.7,2022,SFG
277,C.J. Cron,2.2,2022,COL
278,Jake Cronenworth,3.9,2022,SDP
279,Nelson Cruz,0.1,2022,WSN
280,Bobby Dalbec,-0.7,2022,BOS
281,Travis d'Arnaud,2.8,2022,ATL
282,Yonathan Daza,1.2,2022,COL
283,Bryan De La Cruz,0.6,2022,MIA
284,Rafael Devers,4.5,2022,BOS
285,Yandy DÃ­az,3.4,2022,TBR
286,Elias DÃ­az,0.4,2022,COL
287,Josh Donaldson,2.2,2022,NYY
288,Adam Duvall,-0.2,2022,ATL
289,Tommy Edman,6.2,2022,STL
290,Adam Engel,0.1,2022,CHW
291,Eduardo Escobar,1.2,2022,NYM
292,Santiago Espinal,2.2,2022,TOR
293,Thairo Estrada,1.8,2022,SFG
294,Kyle Farmer,1.2,2022,CIN
295,Ty France,3.1,2022,SEA
296,Maikel Franco,-1.1,2022,WSN
297,Adam Frazier,0.8,2022,SEA
298,Freddie Freeman,6.2,2022,LAD
299,Joey Gallo,0.3,2022,"LAD,NYY"
300,Ben Gamel,0.1,2022,PIT
301,AvisaÃ­l GarcÃ­a,-1.1,2022,MIA
302,Adolis GarcÃ­a,3.5,2022,TEX
303,AndrÃ©s GimÃ©nez,7.4,2022,CLE
304,Paul Goldschmidt,7.7,2022,STL
305,Oscar GonzÃ¡lez,2.1,2022,CLE
306,Luis GonzÃ¡lez,0.3,2022,SFG
307,Nick Gordon,1.7,2022,MIN
308,Lourdes Gurriel Jr.,2.2,2022,TOR
309,Yuli Gurriel,-0.2,2022,HOU
310,Riley Greene,1.3,2022,DET
311,Randal Grichuk,0.3,2022,COL
312,Robbie Grossman,0.5,2022,"ATL,DET"
313,Vladimir Guerrero Jr.,4,2022,TOR
314,Eric Haase,2,2022,DET
315,Ian Happ,4.2,2022,CHC
316,Bryce Harper,2.5,2022,PHI
317,Josh Harrison,1.6,2022,CHW
318,Michael Harris II,5.2,2022,ATL
319,Ke'Bryan Hayes,4.4,2022,PIT
320,Austin Hays,2.4,2022,BAL
321,Austin Hedges,-0.4,2022,CLE
322,Jonah Heim,2.4,2022,TEX
323,Teoscar HernÃ¡ndez,2.8,2022,TOR
324,CÃ©sar HernÃ¡ndez,0.7,2022,WSN
325,KikÃ© HernÃ¡ndez,0.9,2022,BOS
326,Aaron Hicks,1.5,2022,NYY
327,Kyle Higashioka,0.6,2022,NYY
328,Nico Hoerner,4.2,2022,CHC
329,Rhys Hoskins,3,2022,PHI
330,Eric Hosmer,1,2022,"BOS,SDP"
331,Jose Iglesias,1.2,2022,COL
332,Jonathan India,-0.1,2022,CIN
333,Kyle Isbel,0.4,2022,KCR
334,Aaron Judge,10.5,2022,NYY
335,Carson Kelly,0.9,2022,ARI
336,Tony Kemp,1.2,2022,OAK
337,Max Kepler,2.1,2022,MIN
338,Ha-Seong Kim,4.9,2022,SDP
339,Isiah Kiner-Falefa,2.9,2022,NYY
340,Andrew Knizner,0.6,2022,STL
341,Steven Kwan,5.6,2022,CLE
342,RamÃ³n Laureano,1,2022,OAK
343,Francisco Lindor,5.6,2022,NYM
344,Nathaniel Lowe,3.2,2022,TEX
345,Gavin Lux,2.8,2022,LAD
346,Manny Machado,6.7,2022,SDP
347,MartÃ­n Maldonado,0.4,2022,HOU
348,Brandon Marsh,1.6,2022,"LAA,PHI"
349,Ketel Marte,1.5,2022,ARI
350,Starling Marte,3.9,2022,NYM
351,J.D. Martinez,1.1,2022,BOS
352,Jorge Mateo,3.6,2022,BAL
353,Jake McCarthy,2.3,2022,ARI
354,Chas McCormick,1.3,2022,HOU
355,Andrew McCutchen,1.1,2022,MIL
356,Reese McGuire,0.9,2022,"BOS,CHW"
357,Ryan McKenna,0.3,2022,BAL
358,Ryan McMahon,3.1,2022,COL
359,Jeff McNeil,5.7,2022,NYM
360,Francisco Mejia,0.7,2022,TBR
361,Whit Merrifield,0,2022,"KCR,TOR"
362,Owen Miller,0.3,2022,CLE
363,YoÃ¡n Moncada,0.9,2022,CHW
364,Ryan Mountcastle,1.5,2022,BAL
365,Cedric Mullins,4,2022,BAL
366,Max Muncy,3,2022,LAD
367,Sean Murphy,3.6,2022,OAK
368,Tyler Naquin,-0.2,2022,"CIN,NYM"
369,Omar NarvÃ¡ez,0.3,2022,MIL
370,Josh Naylor,1.8,2022,CLE
371,TomÃ¡s Nido,0.3,2022,NYM
372,Brandon Nimmo,5.1,2022,NYM
373,Austin Nola,1.9,2022,SDP
374,Lars Nootbaar,2.1,2022,STL
375,Rougned Odor,-0.2,2022,BAL
376,Matt Olson,3.3,2022,ATL
377,Tyler O'Neill,1.2,2022,STL
378,Rafael Ortega,0.2,2022,CHC
379,Shohei Ohtani,3.4,2022,LAA
380,Cristian Pache,-0.5,2022,OAK
381,Joc Pederson,1.4,2022,SFG
382,Jeremy PeÃ±a,5,2022,HOU
383,David Peralta,0.6,2022,"ARI,TBR"
384,Geraldo Perdomo,0.6,2022,ARI
385,Jace Peterson,2.2,2022,MIL
386,Tommy Pham,0.5,2022,"BOS,CIN"
387,Chad Pinder,-0.6,2022,OAK
388,Jorge Polanco,2.7,2022,MIN
389,AJ Pollock,0.5,2022,CHW
390,Jurickson Profar,3,2022,SDP
391,Cal Raleigh,3.9,2022,SEA
392,JosÃ© RamÃ­rez,6,2022,CLE
393,J.T. Realmuto,6.6,2022,PHI
394,Hunter Renfroe,2.6,2022,MIL
395,Luis Rengifo,2.4,2022,LAA
396,VÃ­ctor Reyes,0,2022,DET
