Player,Season,Team,Lg,G,AS,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
Andrew McCutchen,2013,PIT,NL,157,1,674,583,97,185,121,38,5,21,84,27,10,78,101,0.317,0.404,0.508,0.911,157,296
Yadier Molina,2013,STL,NL,136,1,541,505,68,161,105,44,0,12,80,3,2,30,55,0.319,0.359,0.477,0.836,129,241
David Ortiz,2013,BOS,AL,137,1,600,518,84,160,90,38,2,30,103,4,0,76,88,0.309,0.395,0.564,0.959,159,292
Dustin Pedroia,2013,BOS,AL,160,1,724,641,91,193,140,42,2,9,84,17,5,73,75,0.301,0.372,0.415,0.787,115,266
Jhonny Peralta,2013,DET,AL,107,1,448,409,50,124,83,30,0,11,55,3,3,35,98,0.303,0.358,0.457,0.815,121,187
Salvador Perez,2013,KCR,AL,138,1,526,496,48,145,104,25,3,13,79,0,0,21,63,0.292,0.323,0.433,0.757,105,215
Brandon Phillips,2013,CIN,NL,151,1,666,606,80,158,114,24,2,18,103,5,3,39,98,0.261,0.31,0.396,0.706,94,240
Buster Posey,2013,SFG,NL,148,1,595,520,61,153,103,34,1,15,72,2,1,60,70,0.294,0.371,0.45,0.821,134,234
Marco Scutaro,2013,SFG,NL,127,1,547,488,57,145,117,23,3,2,31,2,0,45,34,0.297,0.357,0.369,0.726,109,180
Jean Segura,2013,MIL,NL,146,1,623,588,74,173,131,20,10,12,49,44,13,25,84,0.294,0.329,0.423,0.752,105,249
Mike Trout,2013,LAA,AL,157,1,716,589,109,190,115,39,9,27,97,33,7,110,136,0.323,0.432,0.557,0.988,179,328
Troy Tulowitzki,2013,COL,NL,126,1,512,446,72,139,87,27,0,25,82,1,0,57,85,0.312,0.391,0.54,0.931,139,241
Joey Votto,2013,CIN,NL,162,1,726,581,101,177,120,30,3,24,73,6,3,135,138,0.305,0.435,0.491,0.926,156,285
David Wright,2013,NYM,NL,112,1,492,430,63,132,85,23,6,18,58,17,3,55,79,0.307,0.39,0.514,0.904,156,221
Ben Zobrist,2013,TBR,AL,157,1,698,612,77,168,117,36,3,12,71,11,3,72,91,0.275,0.354,0.402,0.756,112,246
