Player,Season,Team,Lg,G,AS,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
Max Muncy,2021,LAD,NL,144,1,592,497,95,124,60,26,2,36,94,2,1,83,120,0.249,0.368,0.527,0.895,135,262
Omar Narváez,2021,MIL,NL,123,1,445,391,54,104,73,20,0,11,49,0,0,41,84,0.266,0.342,0.402,0.743,101,157
Matt Olson,2021,OAK,AL,156,1,673,565,101,153,79,35,0,39,111,4,1,88,113,0.271,0.371,0.54,0.911,153,305
Shohei Ohtani,2021,LAA,AL,155,1,639,537,103,138,58,26,8,46,100,26,10,96,189,0.257,0.372,0.592,0.965,157,318
Salvador Perez,2021,KCR,AL,161,1,665,620,88,169,97,24,0,48,121,1,0,28,170,0.273,0.316,0.544,0.859,128,337
Buster Posey,2021,SFG,NL,113,1,454,395,68,120,79,23,0,18,56,0,0,56,87,0.304,0.39,0.499,0.889,140,197
José Ramírez,2021,CLE,AL,152,1,636,552,111,147,74,32,5,36,103,27,4,72,87,0.266,0.355,0.538,0.893,142,297
J.T. Realmuto,2021,PHI,NL,134,1,537,476,64,125,79,25,4,17,73,13,3,48,129,0.263,0.343,0.439,0.782,110,209
Bryan Reynolds,2021,PIT,NL,159,1,646,559,93,169,102,35,8,24,90,5,2,75,119,0.302,0.39,0.522,0.912,145,292
Kyle Schwarber,2021,WSN,NL,113,1,471,399,76,106,55,19,0,32,71,1,1,64,127,0.266,0.374,0.554,0.928,149,221
Marcus Semien,2021,TOR,AL,162,1,724,652,115,173,87,39,2,45,102,15,1,66,146,0.265,0.334,0.538,0.873,131,351
Juan Soto,2021,WSN,NL,151,1,654,502,111,157,106,20,2,29,95,9,7,145,93,0.313,0.465,0.534,0.999,175,268
Fernando Tatis Jr.,2021,SDP,NL,130,1,546,478,99,135,62,31,0,42,97,25,4,62,153,0.282,0.364,0.611,0.975,166,292
Chris Taylor,2021,LAD,NL,148,1,582,507,92,129,80,25,4,20,73,13,1,63,167,0.254,0.344,0.438,0.782,107,222
Justin Turner,2021,LAD,NL,151,1,612,533,87,148,99,22,0,27,87,3,0,61,98,0.278,0.361,0.471,0.832,120,251
Jared Walsh,2021,LAA,AL,144,1,585,530,70,147,83,34,1,29,98,2,1,48,152,0.277,0.34,0.509,0.85,127,270
Joey Wendle,2021,TBR,AL,136,1,501,460,73,122,76,31,4,11,54,8,6,28,113,0.265,0.319,0.422,0.741,108,194
Jesse Winker,2021,CIN,NL,110,1,485,423,77,129,72,32,1,24,71,1,0,53,75,0.305,0.394,0.556,0.949,143,235
Mike Zunino,2021,TBR,AL,109,1,375,333,64,72,26,11,2,33,62,0,0,34,132,0.216,0.301,0.559,0.86,136,186
José Abreu,2019,CHW,AL,159,1,693,634,85,180,108,38,1,33,123,2,2,36,152,0.284,0.33,0.503,0.834,118,319
Ronald Acuña Jr.,2019,ATL,NL,156,1,715,626,127,175,110,22,2,41,101,37,9,76,188,0.28,0.365,0.518,0.883,121,324
Pete Alonso,2019,NYM,NL,161,1,693,597,103,155,70,30,2,53,120,1,0,72,183,0.26,0.358,0.583,0.941,147,348
Nolan Arenado,2019,COL,NL,155,1,662,588,102,185,111,31,2,41,118,3,2,62,93,0.315,0.379,0.583,0.962,131,343
Javier Báez,2019,CHC,NL,138,1,561,531,89,149,78,38,4,29,85,11,7,28,156,0.281,0.316,0.531,0.847,115,282
Josh Bell,2019,PIT,NL,143,1,613,527,94,146,69,37,3,37,116,0,1,74,118,0.277,0.367,0.569,0.936,142,300
Cody Bellinger,2019,LAD,NL,156,1,661,558,121,170,86,34,3,47,115,15,5,95,108,0.305,0.406,0.629,1.035,167,351
Mookie Betts,2019,BOS,AL,150,1,706,597,135,176,102,40,5,29,80,16,3,97,101,0.295,0.391,0.524,0.915,134,313
Charlie Blackmon,2019,COL,NL,140,1,634,580,112,182,101,42,7,32,86,2,5,40,104,0.314,0.364,0.576,0.94,125,334
Xander Bogaerts,2019,BOS,AL,155,1,698,614,110,190,105,52,0,33,117,4,2,76,122,0.309,0.384,0.555,0.939,139,341
Michael Brantley,2019,HOU,AL,148,1,637,575,88,179,115,40,2,22,90,3,2,51,66,0.311,0.372,0.503,0.875,126,289
Alex Bregman,2019,HOU,AL,156,1,690,554,122,164,84,37,2,41,112,5,1,119,83,0.296,0.423,0.592,1.015,162,328
Kris Bryant,2019,CHC,NL,147,1,634,543,108,153,86,35,1,31,77,4,0,74,145,0.282,0.382,0.521,0.903,132,283
Matt Chapman,2019,OAK,AL,156,1,670,583,102,145,70,36,3,36,91,1,1,73,147,0.249,0.342,0.506,0.848,127,295
Willson Contreras,2019,CHC,NL,105,1,409,360,57,98,54,18,2,24,64,1,2,38,102,0.272,0.355,0.533,0.888,127,192
David Dahl,2019,COL,NL,100,1,413,374,67,113,65,28,5,15,61,4,4,28,110,0.302,0.353,0.524,0.877,111,196
Paul DeJong,2019,STL,NL,159,1,664,583,97,136,74,31,1,30,78,9,5,62,149,0.233,0.318,0.444,0.762,99,259
Freddie Freeman,2019,ATL,NL,158,1,692,597,113,176,102,34,2,38,121,6,3,87,127,0.295,0.389,0.549,0.938,135,328
Yasmani Grandal,2019,MIL,NL,153,1,632,513,79,126,70,26,2,28,77,5,1,109,139,0.246,0.38,0.468,0.848,119,240
Francisco Lindor,2019,CLE,AL,143,1,654,598,101,170,96,40,2,32,74,22,5,46,98,0.284,0.335,0.518,0.854,118,310
Ketel Marte,2019,ARI,NL,144,1,628,569,97,187,110,36,9,32,92,10,2,53,86,0.329,0.389,0.592,0.981,149,337
J.D. Martinez,2019,BOS,AL,146,1,657,575,98,175,104,33,2,36,105,2,0,72,138,0.304,0.383,0.557,0.939,139,320
James McCann,2019,CHW,AL,118,1,476,439,62,120,75,26,1,18,60,4,1,30,137,0.273,0.328,0.46,0.789,108,202
Jeff McNeil,2019,NYM,NL,133,1,567,510,83,162,100,38,1,23,75,5,6,35,75,0.318,0.384,0.531,0.916,143,271
Austin Meadows,2019,TBR,AL,138,1,591,530,83,154,85,29,7,33,89,12,7,54,131,0.291,0.364,0.558,0.922,144,296
Whit Merrifield,2019,KCR,AL,162,1,735,681,105,206,139,41,10,16,74,20,10,45,126,0.302,0.348,0.463,0.811,111,315
Mike Moustakas,2019,MIL,NL,143,1,584,523,80,133,67,30,1,35,87,3,0,53,98,0.254,0.329,0.516,0.845,114,270
Jorge Polanco,2019,MIN,AL,153,1,704,631,107,186,117,40,7,22,79,4,3,60,116,0.295,0.356,0.485,0.841,121,306
J.T. Realmuto,2019,PHI,NL,145,1,593,538,92,148,84,36,3,25,83,9,1,41,123,0.275,0.328,0.493,0.82,109,265
Anthony Rendon,2019,WSN,NL,146,1,646,545,117,174,93,44,3,34,126,5,1,80,86,0.319,0.412,0.598,1.01,157,326
Gary Sánchez,2019,NYY,AL,106,1,446,396,62,92,45,12,1,34,77,0,1,40,125,0.232,0.316,0.525,0.841,119,208
Carlos Santana,2019,CLE,AL,158,1,686,573,110,161,96,30,1,34,93,4,0,108,108,0.281,0.397,0.515,0.911,136,295
George Springer,2019,HOU,AL,122,1,556,479,96,140,78,20,3,39,96,6,2,67,113,0.292,0.383,0.591,0.974,150,283
Trevor Story,2019,COL,NL,145,1,656,588,111,173,95,38,5,35,85,23,8,58,174,0.294,0.363,0.554,0.917,120,326
Mike Trout,2019,LAA,AL,134,1,600,470,110,137,63,27,2,45,104,11,2,110,120,0.291,0.438,0.645,1.083,182,303
Daniel Vogelbach,2019,SEA,AL,144,1,558,462,73,96,49,17,0,30,76,0,0,92,149,0.208,0.341,0.439,0.78,111,203
Christian Yelich,2019,MIL,NL,130,1,580,489,100,161,85,29,3,44,97,30,2,80,118,0.329,0.429,0.671,1.1,179,328
José Abreu,2018,CHW,AL,128,1,553,499,68,132,73,36,1,22,78,2,0,37,109,0.265,0.325,0.473,0.798,117,236
Jesús Aguilar,2018,MIL,NL,149,1,566,492,80,135,75,25,0,35,108,0,0,58,143,0.274,0.352,0.539,0.89,135,265
Ozzie Albies,2018,ATL,NL,158,1,684,639,105,167,98,40,5,24,72,14,3,36,116,0.261,0.305,0.452,0.757,101,289
Jose Altuve,2018,HOU,AL,137,1,599,534,84,169,125,29,2,13,61,17,4,55,79,0.316,0.386,0.451,0.837,130,241
Nolan Arenado,2018,COL,NL,156,1,673,590,104,175,97,38,2,38,110,2,2,73,122,0.297,0.374,0.561,0.935,133,331
Javier Báez,2018,CHC,NL,160,1,645,606,101,176,93,40,9,34,111,21,9,29,167,0.29,0.326,0.554,0.881,129,336
Mookie Betts,2018,BOS,AL,136,1,614,520,129,180,96,47,5,32,80,30,6,81,91,0.346,0.438,0.64,1.078,186,333
Charlie Blackmon,2018,COL,NL,156,1,696,626,119,182,115,31,7,29,70,12,4,59,134,0.291,0.358,0.502,0.86,115,314
Michael Brantley,2018,CLE,AL,143,1,631,570,89,176,121,36,2,17,76,12,3,48,60,0.309,0.364,0.468,0.832,124,267
Alex Bregman,2018,HOU,AL,157,1,705,594,105,170,87,51,1,31,103,10,4,96,85,0.286,0.394,0.532,0.926,152,316
Lorenzo Cain,2018,MIL,NL,141,1,620,539,90,166,129,25,2,10,38,30,7,71,94,0.308,0.395,0.417,0.813,119,225
Shin-Soo Choo,2018,TEX,AL,146,1,665,560,83,148,96,30,1,21,62,6,1,92,156,0.264,0.377,0.434,0.81,114,243
Willson Contreras,2018,CHC,NL,138,1,544,474,50,118,76,27,5,10,54,4,1,53,121,0.249,0.339,0.39,0.73,94,185
Brandon Crawford,2018,SFG,NL,151,1,594,531,63,135,91,28,2,14,54,4,5,50,122,0.254,0.325,0.394,0.719,100,209
Nelson Cruz,2018,SEA,AL,144,1,591,519,70,133,77,18,1,37,97,1,0,55,122,0.256,0.342,0.509,0.85,135,264
Freddie Freeman,2018,ATL,NL,162,1,707,618,94,191,120,44,4,23,98,10,3,76,132,0.309,0.388,0.505,0.892,139,312
Scooter Gennett,2018,CIN,NL,154,1,638,584,86,181,125,30,3,23,92,4,2,42,125,0.31,0.357,0.49,0.847,125,286
Paul Goldschmidt,2018,ARI,NL,158,1,690,593,95,172,99,35,5,33,83,7,4,90,173,0.29,0.389,0.533,0.922,142,316
Yan Gomes,2018,CLE,AL,112,1,435,403,52,107,65,26,0,16,48,0,0,21,119,0.266,0.313,0.449,0.762,103,181
Mitch Haniger,2018,SEA,AL,157,1,683,596,90,170,102,38,4,26,93,8,2,70,148,0.285,0.366,0.493,0.859,139,294
Bryce Harper,2018,WSN,NL,159,1,695,550,103,137,69,34,0,34,100,13,3,130,169,0.249,0.393,0.496,0.889,133,273
Aaron Judge,2018,NYY,AL,112,1,498,413,77,115,66,22,0,27,67,6,3,76,152,0.278,0.392,0.528,0.919,150,218
Matt Kemp,2018,LAD,NL,146,1,506,462,62,134,88,25,0,21,85,0,0,36,115,0.29,0.338,0.481,0.818,121,222
Francisco Lindor,2018,CLE,AL,158,1,745,661,129,183,101,42,2,38,92,25,10,70,107,0.277,0.352,0.519,0.871,132,343
Jed Lowrie,2018,OAK,AL,157,1,680,596,78,159,98,37,1,23,99,0,0,78,128,0.267,0.353,0.448,0.801,121,267
Manny Machado,2018,BAL,AL,162,1,709,632,84,188,113,35,3,37,107,14,2,70,104,0.297,0.367,0.538,0.905,145,340
Nick Markakis,2018,ATL,NL,162,1,705,623,78,185,126,43,2,14,93,1,1,72,80,0.297,0.366,0.44,0.806,116,274
J.D. Martinez,2018,BOS,AL,150,1,649,569,111,188,106,37,2,43,130,6,1,69,146,0.33,0.402,0.629,1.031,173,358
Yadier Molina,2018,STL,NL,123,1,503,459,55,120,80,20,0,20,74,4,3,29,66,0.261,0.314,0.436,0.75,103,200
Mitch Moreland,2018,BOS,AL,124,1,459,404,57,99,57,23,4,15,68,2,0,50,102,0.245,0.325,0.433,0.758,102,175
Salvador Perez,2018,KCR,AL,129,1,544,510,52,120,70,23,0,27,80,1,1,17,108,0.235,0.274,0.439,0.713,91,224
Buster Posey,2018,SFG,NL,105,1,448,398,47,113,85,22,1,5,41,3,2,45,53,0.284,0.359,0.382,0.741,108,152
José Ramírez,2018,CLE,AL,157,1,698,578,110,156,75,38,4,39,105,34,6,106,80,0.27,0.387,0.552,0.939,151,319
Wilson Ramos,2018,TBR,AL,111,1,416,382,39,117,79,22,1,15,70,0,0,32,80,0.306,0.358,0.487,0.845,130,186
J.T. Realmuto,2018,MIA,NL,125,1,531,477,74,132,78,30,3,21,74,3,2,38,104,0.277,0.34,0.484,0.825,126,231
Jean Segura,2018,SEA,AL,144,1,632,586,91,178,136,29,3,10,63,20,11,32,69,0.304,0.341,0.415,0.755,112,243
George Springer,2018,HOU,AL,140,1,620,544,102,144,96,26,0,22,71,6,4,64,122,0.265,0.346,0.434,0.78,114,236
Trevor Story,2018,COL,NL,157,1,656,598,88,174,89,42,6,37,108,27,6,47,168,0.291,0.348,0.567,0.914,127,339
Eugenio Suárez,2018,CIN,NL,143,1,606,527,79,149,91,22,2,34,104,1,1,64,142,0.283,0.366,0.526,0.892,136,277
Gleyber Torres,2018,NYY,AL,123,1,484,431,54,117,76,16,1,24,77,6,2,42,122,0.271,0.34,0.48,0.82,122,207
Mike Trout,2018,LAA,AL,140,1,608,471,101,147,80,24,4,39,79,24,2,122,124,0.312,0.46,0.628,1.088,198,296
Joey Votto,2018,CIN,NL,145,1,623,503,67,143,101,28,2,12,67,2,0,108,101,0.284,0.417,0.419,0.837,126,211
Christian Yelich,2018,MIL,NL,147,1,651,574,118,187,110,34,7,36,110,22,4,68,135,0.326,0.402,0.598,1.0,164,343
Jose Altuve,2017,HOU,AL,153,1,662,590,112,204,137,39,4,24,81,32,6,58,84,0.346,0.41,0.547,0.957,160,323
Nolan Arenado,2017,COL,NL,159,1,680,606,100,187,100,43,7,37,130,3,2,62,106,0.309,0.373,0.586,0.959,130,355
Cody Bellinger,2017,LAD,NL,132,1,548,480,87,128,59,26,4,39,97,10,3,64,146,0.267,0.352,0.581,0.933,143,279
Mookie Betts,2017,BOS,AL,153,1,712,628,101,166,94,46,2,24,102,26,3,77,79,0.264,0.344,0.459,0.803,108,288
Charlie Blackmon,2017,COL,NL,159,1,725,644,137,213,127,35,14,37,104,14,10,65,135,0.331,0.399,0.601,1.0,141,387
Michael Brantley,2017,CLE,AL,90,1,375,338,47,101,71,20,1,9,52,11,1,31,50,0.299,0.357,0.444,0.801,108,150
Robinson Canó,2017,SEA,AL,150,1,648,592,79,166,110,33,0,23,97,1,0,49,85,0.28,0.338,0.453,0.791,114,268
Starlin Castro,2017,NYY,AL,112,1,473,443,66,133,98,18,1,16,63,2,0,23,93,0.3,0.338,0.454,0.792,106,201
Michael Conforto,2017,NYM,NL,109,1,440,373,72,104,56,20,1,27,68,2,0,57,113,0.279,0.384,0.555,0.939,148,207
Carlos Correa,2017,HOU,AL,109,1,481,422,82,133,83,25,1,24,84,2,1,53,92,0.315,0.391,0.55,0.941,155,232
Zack Cozart,2017,CIN,NL,122,1,507,438,80,130,75,24,7,24,63,3,0,62,78,0.297,0.385,0.548,0.933,140,240
Nelson Cruz,2017,SEA,AL,155,1,645,556,91,160,93,28,0,39,119,1,1,70,140,0.288,0.375,0.549,0.924,149,305
Corey Dickerson,2017,TBR,AL,150,1,629,588,84,166,102,33,4,27,62,4,3,35,152,0.282,0.325,0.49,0.815,118,288
Avisaíl García,2017,CHW,AL,136,1,561,518,75,171,121,27,5,18,80,5,3,33,111,0.33,0.38,0.506,0.885,138,262
Paul Goldschmidt,2017,ARI,NL,155,1,665,558,117,166,93,34,3,36,120,18,5,94,147,0.297,0.404,0.563,0.966,142,314
Bryce Harper,2017,WSN,NL,111,1,492,420,95,134,77,27,1,29,87,4,2,68,99,0.319,0.413,0.595,1.008,156,250
Josh Harrison,2017,PIT,NL,128,1,542,486,66,132,88,26,2,16,47,12,4,28,90,0.272,0.339,0.432,0.771,103,210
Ender Inciarte,2017,ATL,NL,157,1,718,662,93,201,158,27,5,11,57,22,9,49,94,0.304,0.35,0.409,0.759,98,271
