Player,Season,Games_Played,All-Star,Plate_Appearances,At_Bats,Runs,Hits,Home_Run,Runs_Batted_In,Stolen_Bases,Walks,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Plus_(OPS+),Pos,Standings,WAR,PIE_Score
Adam Duvall,1.6288786172783059,-1.8810544876041904,0,-1.3582809857440619,-1.3297676252163921,-0.8569362676763683,-1.1943263884827453,0.4057917937896714,-0.14355417925250377,-0.42773354901923727,-1.0730277084815272,0.1700388694091426,-0.4331618334093977,-0.7308487268183388,1.4827664686868887,0.5620179950275344,0.9192394245133076,0.6301756208995094,-0.3675240502125278,-0.5129813531029233
Adam Frazier,1.6288786172783059,0.43165526989627656,0,-0.519833987467478,-0.47748171186148397,-0.23111694777005617,-0.6375196140411556,-0.3907052455771103,-0.06016944787863429,0.31444876134483574,-0.5957537668093402,-1.0752708672218259,-0.665855459994334,-0.8163907454332635,-0.4799820407941241,-0.46777178478223336,-0.7262291858695821,-1.481009066242425,-0.31879809147988547,-1.913017675244676
Adley Rutschman,1.6288786172783059,1.0452313280086454,1,1.387221930181223,1.1529782962957313,0.886417552062644,1.1442620641719314,0.30622966386882366,0.7736778658600606,-0.7458116820324114,2.267889883223782,-0.09681321701177925,0.56409656624033,1.2936457137348785,0.08703419527816808,0.9327423157590509,-1.548963491061027,-1.481009066242425,0.9480768355688173,1.6520621017494515
Adolis García,1.6288786172783059,0.762042378110629,1,0.9351181566007118,0.8472670447662535,1.9592506719020362,0.3925729186757854,2.19791013236493,1.8993717394072989,0.10239667266938636,0.9792502407088769,2.0973039380046887,-0.4996457267193795,-0.01799857169396597,1.1483722781827157,0.8915507245666601,1.33060657710903,-0.8945688753696655,0.899350876836175,3.0925788455032888
Akil Baddoo,1.6288786172783059,-0.9370913212774692,0,-1.325400711301843,-1.4038794437689928,-1.0804431676429085,-1.5005701144256196,-0.5898295054188057,-1.1441709557389375,0.6325268943580099,-0.11847982513715313,-0.4526159989063417,-1.3971782864041336,-0.5312506833835144,-0.8289151091463045,-0.7149213319365777,0.5078722719175852,0.5128875827249575,-0.8547836375389519,-2.137088170880483
Alec Bohm,1.6288786172783059,0.6204479031616209,0,0.7624967157790622,0.8750589767234788,0.43940375212956395,0.8658586769511367,0.30622966386882366,1.4824480825379514,-0.42773354901923727,-0.11847982513715313,-0.30436483978360734,0.4643707262753572,-0.046512577898940886,0.1161119509741831,0.026527309526455177,-0.31486203327385964,-0.7772808371951135,-0.9522355550042368,0.2573235837666527
Alejandro Kirk,1.6288786172783059,-0.41791157979777255,0,-0.7910962516157847,-0.8480408046244875,-1.3486514476027565,-0.8045616463736325,-0.8885158951813489,-0.768939664556525,-0.8518377263701361,-0.11847982513715313,-1.7572261991864038,-0.3334359934444249,0.1530854655358835,-1.0324593990184099,-0.5501549671670148,-1.548963491061027,-0.6599927990205616,-0.22134617401460066,-2.45879632705256
Alek Thomas,1.6288786172783059,-0.32351526316510043,0,-0.9554976238268795,-0.8295128499863372,-0.5887279877165202,-0.9994440174281889,-0.7889537652605011,-0.9357091273042639,0.10239667266938636,-1.216209890983183,-0.5415666943799823,-0.9982749265442423,-1.5862689129675847,-0.7998373534502895,-1.2916036086300475,0.9192394245133076,-0.3081286844969059,-0.6111538438757399,-2.3936593200260874
Alex Bregman,1.6288786172783059,1.375618436222998,0,1.6913644687717484,1.4679535251442841,1.7357437719354962,1.1442620641719314,0.8040403134730623,1.5241404482248861,-0.533759593356962,2.267889883223782,-0.5119164625554353,0.06546736641546616,0.9799916454801544,0.17426746236621318,0.6855927686047065,-0.31486203327385964,-1.0118569135442173,1.240432587964672,2.653849274680914
Alex Call,1.6288786172783059,-0.18192078821609223,0,-0.651355085236354,-0.8202488726672622,-0.9463390276629844,-1.3056877433710632,-0.8885158951813489,-0.9774014929911987,0.10239667266938636,0.40652151070225256,-0.7787685489763572,-1.9955333261939692,-0.6167927019984392,-1.773942169266792,-1.373986791014829,0.9192394245133076,1.3339038499468208,-0.6111538438757399,-1.7696491909153207
Alex Verdugo,1.6288786172783059,0.4788534282126126,0,0.6885160982840695,0.7638912488945777,0.75231341208272,0.6152956284524213,-0.3907052455771103,-0.3103236420002428,-0.32170750468151255,0.024702357364502974,-0.3340150716081542,0.131951259725448,-0.13205459651386564,-0.11651009459393712,-0.2206222376278891,1.33060657710903,0.6301756208995094,0.11973553711389633,1.0678688953700683
Andrés Giménez,1.6288786172783059,0.9980331696923094,0,0.8035970588318359,0.8657949994044036,0.5288065121161799,0.5039342735641034,-0.19158098573541485,0.023215283495235203,2.328943603761606,-0.5957537668093402,0.22933933305823634,-0.300194046789434,-0.41719465856361476,-0.4363654072501016,-0.42658019358984267,-0.7262291858695821,0.7474636590740613,1.4353364228952414,1.5139801300058087
Andrew Benintendi,1.6288786172783059,0.9036368530596373,0,0.8446974018846096,0.9121148859997791,0.3500009921429479,0.6988166446186598,-1.187202284943892,-0.6855549331826555,0.5265008500202852,0.35879411653503385,-0.4526159989063417,0.06546736641546616,-0.0750265841039158,-1.0615371547144248,-0.7149213319365777,0.5078722719175852,1.4511918881213728,-1.0496874724695215,0.24403110260977012
Andrew McCutchen,1.6288786172783059,-0.9370913212774692,0,-0.3718727524774926,-0.6812892128811359,-0.4099224677432883,-0.6096792753190762,-0.490267375497958,-0.768939664556525,0.31444876134483574,1.456524182381064,-0.1264634488363261,-0.13398431351447937,1.407701738554778,-0.4654431629461166,0.27367685668079944,1.7419737297047526,0.8647516972486132,-0.4162500089451703,0.34502214365943024
